item	cond	subject	rt	region.id	correct_answer	accuracy
1	b	2m10	312	DE	Y	1
1	b	2m10	766	FreqP	Y	1
1	b	2m10	406	hd4	Y	1
1	b	2m10	344	hd1	Y	1
1	b	2m14	390	VN	Y	1
1	b	2m14	406	Adv	Y	1
1	b	2m14	344	hd2	Y	1
1	b	2m14	2032	hd5	Y	1
1	b	2m14	516	FreqP	Y	1
1	b	2m14	625	head	Y	1
1	b	2m14	406	Det+CL	Y	1
1	b	2m14	640	hd1	Y	1
1	b	2m14	422	DE	Y	1
1	b	2m14	375	hd4	Y	1
1	b	2m14	562	hd3	Y	1
1	b	2m18	422	hd2	Y	1
1	b	2m18	1016	Det+CL	Y	1
1	b	2m18	375	hd4	Y	1
1	b	2m18	719	FreqP	Y	1
1	b	2m18	500	hd1	Y	1
1	b	2m18	547	Adv	Y	1
1	b	2m18	1375	VN	Y	1
1	b	2m18	859	head	Y	1
1	b	2m18	484	DE	Y	1
1	b	2m18	1734	hd5	Y	1
1	b	2m18	407	hd3	Y	1
1	b	2m2	344	Adv	Y	1
1	b	2m2	407	FreqP	Y	1
1	b	2m2	359	Det+CL	Y	1
1	b	2m2	421	head	Y	1
1	b	2m2	406	hd2	Y	1
1	b	2m2	516	hd3	Y	1
1	b	2m2	1203	hd4	Y	1
1	b	2m2	312	VN	Y	1
1	b	2m2	297	DE	Y	1
1	b	2m2	687	hd5	Y	1
1	b	2m2	360	hd1	Y	1
1	b	2m22	531	hd5	N	0
1	b	2m22	407	head	N	0
1	b	2m22	375	DE	N	0
1	b	2m22	391	VN	N	0
1	b	2m22	422	hd3	N	0
1	b	2m22	734	hd1	N	0
1	b	2m22	437	hd2	N	0
1	b	2m22	453	Adv	N	0
1	b	2m22	547	Det+CL	N	0
1	b	2m22	360	hd4	N	0
1	b	2m22	531	FreqP	N	0
1	b	2m6	531	hd3	Y	1
1	b	2m6	562	hd5	Y	1
1	b	2m6	437	hd2	Y	1
1	b	2m6	578	hd1	Y	1
1	b	2m6	1062	Adv	Y	1
1	b	2m6	1344	VN	Y	1
1	b	2m6	828	head	Y	1
1	b	2m6	2047	FreqP	Y	1
1	b	2m6	594	Det+CL	Y	1
1	b	2m6	453	hd4	Y	1
1	b	2m6	485	DE	Y	1
1	c	1m11	203	Adv	N	1
1	c	1m11	516	hd2	N	1
1	c	1m11	328	N	N	1
1	c	1m11	547	VN	N	1
1	c	1m11	188	Det+CL	N	1
1	c	1m11	609	hd3	N	1
1	c	1m11	391	head	N	1
1	c	1m11	235	V	N	1
1	c	1m11	453	hd1	N	1
1	c	1m11	344	FreqP	N	1
1	c	1m11	375	DE	N	1
1	c	1m15	453	FreqP	N	1
1	c	1m15	2672	Adv	N	1
1	c	1m15	672	hd3	N	1
1	c	1m15	688	V	N	1
1	c	1m15	718	Det+CL	N	1
1	c	1m15	625	N	N	1
1	c	1m15	453	head	N	1
1	c	1m15	375	DE	N	1
1	c	1m15	641	VN	N	1
1	c	1m15	547	hd2	N	1
1	c	1m15	453	hd1	N	1
1	c	1m19	953	hd3	N	1
1	c	1m19	484	Det+CL	N	1
1	c	1m19	406	head	N	1
1	c	1m19	328	Adv	N	1
1	c	1m19	1031	FreqP	N	1
1	c	1m19	360	V	N	1
